config,provider,model,case_id,category,utterance,should_reject,expected_query,predicted_mode,predicted_target,predicted_speed_kmh,passed,error,invalid_target_seen,attempts,prompt_tokens,completion_tokens,cached_tokens,latency_s,reply
local,local,Qwen/Qwen3.5-9B,valid_cruise_can_use_now,paraphrase,Mogu li sada koristiti tempomat?,False,"{""mode"": ""claim"", ""target"": ""tempomat_dozvoljen""}",claim,tempomat_dozvoljen,,True,,False,1,546,8,0,0.328,claim tempomat_dozvoljen
local,local,Qwen/Qwen3.5-9B,valid_should_reduce_speed,paraphrase,Da li bi trebalo da smanjim brzinu?,False,"{""mode"": ""claim"", ""target"": ""usporavanje_potrebno""}",claim,usporavanje_potrebno,,True,,False,1,549,8,0,0.488,claim usporavanje_potrebno
local,local,Qwen/Qwen3.5-9B,valid_hit_vehicle_ahead,paraphrase,Da li postoji opasnost da udarim vozilo ispred?,False,"{""mode"": ""claim"", ""target"": ""rizik_sudara""}",claim,rizik_sudara,,True,,False,1,552,6,0,0.422,claim rizik_sudara
local,local,Qwen/Qwen3.5-9B,valid_sudden_braking,paraphrase,Da li je potrebno naglo kočenje?,False,"{""mode"": ""claim"", ""target"": ""hitno_kocenje""}",claim,hitno_kocenje,,True,,False,1,546,7,0,0.299,claim hitno_kocenje
local,local,Qwen/Qwen3.5-9B,valid_danger_critical,paraphrase,Da li je opasnost sada kritična?,False,"{""mode"": ""claim"", ""target"": ""nivo_kritican""}",claim,nivo_kritican,,True,,False,1,548,7,0,0.303,claim nivo_kritican
local,local,Qwen/Qwen3.5-9B,valid_approaching_fast,indirect,"Prebrzo se približavam autu ispred, hoću li se sudariti?",False,"{""mode"": ""claim"", ""target"": ""rizik_sudara""}",claim,rizik_sudara,,True,,False,1,558,6,0,0.271,claim rizik_sudara
local,local,Qwen/Qwen3.5-9B,valid_cruise_hold_110,indirect,Neka tempomat drži 110 km/h.,False,"{""mode"": ""request"", ""target"": ""tempomat_dozvoljen"", ""speed_kmh"": 110}",request,tempomat_dozvoljen,110.0,True,,False,1,550,12,0,0.416,request tempomat_dozvoljen 110
local,local,Qwen/Qwen3.5-9B,valid_cruise_set_90,indirect,"Hoću da vozim na tempomatu, stavi ga na 90.",False,"{""mode"": ""request"", ""target"": ""tempomat_dozvoljen"", ""speed_kmh"": 90}",request,tempomat_dozvoljen,90.0,True,,False,1,555,11,0,0.4,request tempomat_dozvoljen 90
local,local,Qwen/Qwen3.5-9B,reject_wet_road,out_of_domain,Da li je cesta mokra?,True,,,,,True,unsupported,False,,,,,0.181,
local,local,Qwen/Qwen3.5-9B,reject_abs_status,out_of_domain,Da li radi ABS?,True,,,,,True,unsupported,False,,,,,0.201,
