config,provider,model,case_id,utterance,expected_mode,expected_target,expected_speed_kmh,predicted_mode,predicted_target,predicted_speed_kmh,exact_match,errors,attempts,latency_s,reply
local,local,Qwen/Qwen3.5-9B,collision_risk_close_fast,Postoji li rizik sudara?,claim,rizik_sudara,,claim,rizik_sudara,,True,,1,0.696,"{""mode"": ""claim"", ""target"": ""rizik_sudara""}"
local,local,Qwen/Qwen3.5-9B,collision_risk_safe_distance,Ima li opasnosti od sudara?,claim,rizik_sudara,,claim,rizik_sudara,,True,,1,0.537,"{""mode"": ""claim"", ""target"": ""rizik_sudara""}"
local,local,Qwen/Qwen3.5-9B,slow_down_low_visibility,Da li treba da usporim?,claim,usporavanje_potrebno,,claim,usporavanje_potrebno,,True,,1,0.566,"{""mode"": ""claim"", ""target"": ""usporavanje_potrebno""}"
local,local,Qwen/Qwen3.5-9B,slow_down_clear_road,Moram li smanjiti brzinu?,claim,usporavanje_potrebno,,claim,usporavanje_potrebno,,True,,1,0.567,"{""mode"": ""claim"", ""target"": ""usporavanje_potrebno""}"
local,local,Qwen/Qwen3.5-9B,brake_collision_risk,Trebam li kočiti?,claim,usporavanje_potrebno,,claim,usporavanje_potrebno,,True,,1,0.582,"{""mode"": ""claim"", ""target"": ""usporavanje_potrebno""}"
local,local,Qwen/Qwen3.5-9B,emergency_braking_very_close,Trebam li naglo zakočiti?,claim,hitno_kocenje,,claim,hitno_kocenje,,True,,1,0.549,"{""mode"": ""claim"", ""target"": ""hitno_kocenje""}"
local,local,Qwen/Qwen3.5-9B,emergency_braking_not_critical,Da li je potrebno hitno kočenje?,claim,hitno_kocenje,,claim,hitno_kocenje,,True,,1,0.62,"{""mode"": ""claim"", ""target"": ""hitno_kocenje""}"
local,local,Qwen/Qwen3.5-9B,critical_risk_low_visibility,Da li je situacija kritična?,claim,nivo_kritican,,claim,nivo_kritican,,True,,1,0.582,"{""mode"": ""claim"", ""target"": ""nivo_kritican""}"
local,local,Qwen/Qwen3.5-9B,critical_risk_good_visibility,Je li nivo opasnosti kritičan?,claim,nivo_kritican,,claim,nivo_kritican,,True,,1,0.551,"{""mode"": ""claim"", ""target"": ""nivo_kritican""}"
local,local,Qwen/Qwen3.5-9B,cruise_on_clear_road,Uključi tempomat.,request,tempomat_dozvoljen,,request,tempomat_dozvoljen,,True,,1,0.577,"{""mode"": ""request"", ""target"": ""tempomat_dozvoljen""}"
local,local,Qwen/Qwen3.5-9B,cruise_low_visibility,Aktiviraj tempomat.,request,tempomat_dozvoljen,,request,tempomat_dozvoljen,,True,,1,0.589,"{""mode"": ""request"", ""target"": ""tempomat_dozvoljen""}"
