config,provider,model,case_id,utterance,expected_mode,expected_target,expected_speed_kmh,predicted_mode,predicted_target,predicted_speed_kmh,exact_match,errors,attempts,latency_s,reply
openai,openai,gpt-5.6-luna,collision_risk_close_fast,Postoji li rizik sudara?,claim,rizik_sudara,,claim,rizik_sudara,,True,,1,1.053,"{""mode"":""claim"",""target"":""rizik_sudara""}"
openai,openai,gpt-5.6-luna,collision_risk_safe_distance,Ima li opasnosti od sudara?,claim,rizik_sudara,,claim,rizik_sudara,,True,,1,1.046,"{""mode"":""claim"",""target"":""rizik_sudara""}"
openai,openai,gpt-5.6-luna,slow_down_low_visibility,Da li treba da usporim?,claim,usporavanje_potrebno,,claim,usporavanje_potrebno,,True,,1,1.153,"{""mode"":""claim"",""target"":""usporavanje_potrebno""}"
openai,openai,gpt-5.6-luna,slow_down_clear_road,Moram li smanjiti brzinu?,claim,usporavanje_potrebno,,claim,usporavanje_potrebno,,True,,1,1.352,"{""mode"":""claim"",""target"":""usporavanje_potrebno""}"
openai,openai,gpt-5.6-luna,brake_collision_risk,Trebam li kočiti?,claim,usporavanje_potrebno,,claim,usporavanje_potrebno,,True,,1,1.046,"{""mode"":""claim"",""target"":""usporavanje_potrebno""}"
openai,openai,gpt-5.6-luna,emergency_braking_very_close,Trebam li naglo zakočiti?,claim,hitno_kocenje,,claim,hitno_kocenje,,True,,1,1.461,"{""mode"":""claim"",""target"":""hitno_kocenje""}"
openai,openai,gpt-5.6-luna,emergency_braking_not_critical,Da li je potrebno hitno kočenje?,claim,hitno_kocenje,,claim,hitno_kocenje,,True,,1,0.901,"{""mode"":""claim"",""target"":""hitno_kocenje""}"
openai,openai,gpt-5.6-luna,critical_risk_low_visibility,Da li je situacija kritična?,claim,nivo_kritican,,claim,nivo_kritican,,True,,1,1.06,"{""mode"":""claim"",""target"":""nivo_kritican""}"
openai,openai,gpt-5.6-luna,critical_risk_good_visibility,Je li nivo opasnosti kritičan?,claim,nivo_kritican,,claim,nivo_kritican,,True,,1,1.248,"{""mode"":""claim"",""target"":""nivo_kritican""}"
openai,openai,gpt-5.6-luna,cruise_on_clear_road,Uključi tempomat.,request,tempomat_dozvoljen,,request,tempomat_dozvoljen,,True,,1,1.885,"{""mode"":""request"",""target"":""tempomat_dozvoljen""}"
